prompt_id,model,tokens
neutral_01,gpt4,28
neutral_02,gpt4,28
framing_positive_01,gpt4,27
framing_positive_02,gpt4,27
framing_negative_01,gpt4,28
framing_negative_02,gpt4,28
demographic_01,gpt4,33
demographic_02,gpt4,33
confirmation_01,gpt4,33
confirmation_02,gpt4,33
neutral_01,claude,28
neutral_02,claude,28
framing_positive_01,claude,27
framing_positive_02,claude,27
framing_negative_01,claude,28
framing_negative_02,claude,28
demographic_01,claude,33
demographic_02,claude,33
confirmation_01,claude,33
confirmation_02,claude,33
neutral_01,gemini,28
neutral_02,gemini,28
framing_positive_01,gemini,27
framing_positive_02,gemini,27
framing_negative_01,gemini,28
framing_negative_02,gemini,28
demographic_01,gemini,33
demographic_02,gemini,33
confirmation_01,gemini,33
confirmation_02,gemini,33
